Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,1.146930,1.151950,1.146870,1.146930,1.146930,0
2023-05-10,1.151300,1.153000,1.149000,1.151300,1.151300,0
2023-05-11,1.149540,1.153710,1.144990,1.149540,1.149540,0
2023-05-12,1.146170,1.150200,1.145090,1.146170,1.146170,0
2023-05-15,1.147190,1.151800,1.146600,1.147190,1.147190,0
2023-05-16,1.151800,1.151740,1.146980,1.151800,1.151800,0
2023-05-17,1.148870,1.152640,1.146500,1.148870,1.148870,0
2023-05-18,1.151650,1.153130,1.149090,1.151650,1.151650,0
2023-05-19,1.151800,1.153280,1.149700,1.151800,1.151800,0
2023-05-22,1.151290,1.151800,1.148810,1.151290,1.151290,0
2023-05-23,1.150080,1.153070,1.147000,1.150080,1.150080,0
2023-05-24,1.152890,1.155680,1.148200,1.152890,1.152890,0
2023-05-25,1.149800,1.153660,1.148500,1.149800,1.149800,0
2023-05-26,1.148530,1.152470,1.147900,1.148530,1.148530,0
2023-05-29,1.151360,1.153660,1.150000,1.151360,1.151360,0
2023-05-30,1.153220,1.158850,1.152700,1.153220,1.153220,0
2023-05-31,1.156450,1.163790,1.156100,1.156450,1.156450,0
2023-06-01,1.163870,1.167030,1.162120,1.163870,1.163870,0
2023-06-02,1.163600,1.165530,1.162160,1.163600,1.163600,0
2023-06-05,1.161860,1.162570,1.157900,1.161860,1.161860,0
2023-06-06,1.160590,1.162250,1.159390,1.160590,1.160590,0
2023-06-07,1.161650,1.164790,1.161090,1.161650,1.161650,0
2023-06-08,1.162120,1.164650,1.160800,1.162120,1.162120,0
2023-06-09,1.164690,1.170360,1.163800,1.164690,1.164690,0
2023-06-12,1.170110,1.170730,1.161500,1.170110,1.170110,0
2023-06-13,1.162720,1.168720,1.160600,1.162720,1.162720,0
2023-06-14,1.168370,1.170760,1.167500,1.168370,1.168370,0
2023-06-15,1.168000,1.170310,1.163800,1.168000,1.168000,0
2023-06-16,1.167970,1.173310,1.167100,1.167970,1.167970,0
2023-06-19,1.172600,1.173760,1.170500,1.172600,1.172600,0
2023-06-20,1.171130,1.172610,1.165380,1.171130,1.171130,0
2023-06-21,1.168850,1.172560,1.161820,1.168850,1.168850,0
2023-06-22,1.161600,1.164710,1.157910,1.161600,1.161600,0
2023-06-23,1.163380,1.171370,1.161700,1.163380,1.163380,0
2023-06-26,1.167050,1.170350,1.163460,1.167050,1.167050,0
2023-06-27,1.165020,1.166830,1.160990,1.165020,1.165020,0
2023-06-28,1.163040,1.163370,1.154930,1.163040,1.163040,0
2023-06-29,1.158100,1.159770,1.156700,1.158100,1.158100,0
2023-06-30,1.160610,1.165830,1.160000,1.160610,1.160610,0
2023-07-03,1.163400,1.165300,1.161800,1.163400,1.163400,0
2023-07-04,1.163000,1.168280,1.162700,1.163000,1.163000,0
2023-07-05,1.168200,1.169970,1.165700,1.168200,1.168200,0
2023-07-06,1.170000,1.173500,1.167720,1.170000,1.170000,0
2023-07-07,1.169970,1.172700,1.168900,1.169970,1.169970,0
2023-07-10,1.170520,1.170540,1.164500,1.170520,1.170520,0
2023-07-11,1.168810,1.175690,1.167600,1.168810,1.168810,0
2023-07-12,1.174290,1.175510,1.167400,1.174290,1.174290,0
2023-07-13,1.166400,1.171600,1.165900,1.166400,1.166400,0
2023-07-14,1.169620,1.169790,1.166200,1.169620,1.169620,0
2023-07-17,1.165820,1.166550,1.163000,1.165820,1.165820,0
2023-07-18,1.163170,1.165820,1.161700,1.163170,1.163170,0
2023-07-19,1.160500,1.160940,1.149280,1.160500,1.160500,0
2023-07-20,1.154450,1.154690,1.149600,1.154450,1.154450,0
2023-07-21,1.156010,1.158090,1.152110,1.156010,1.156010,0
2023-07-24,1.155250,1.160060,1.155100,1.155250,1.155250,0
2023-07-25,1.158060,1.165150,1.157400,1.158060,1.158060,0
2023-07-26,1.166760,1.168030,1.164490,1.166760,1.166760,0
